"name","weighted_price_avg"
"BET NOW - Watch Shows",0E-24
"SHOWTIME",0E-24
"Netflix",0E-24
"STARZ",0E-24
"Nick",0E-24
"The CW",0E-24
"WWE",0E-24
"MTV",0E-24
"BET NOW - Watch Shows",0E-24
"Netflix",0E-24
"Nick",0E-24
"STARZ",0E-24
"The CW",0E-24
"Redbox",0E-24
"SHOWTIME",0E-24
"MTV",0E-24
"BET NOW - Watch Shows",0E-24
"Nick",0E-24
"Fandango Movies - Times + Tickets",0E-24
"Wells Fargo Mobile",0E-24
"USAA Mobile",0E-24
"Wells Fargo Mobile",0E-24
"Amex Mobile",0E-24
"Citi Mobile®",0E-24
"Chase Mobile",0E-24
"McDonald's",0E-24
"Chick-fil-A",0E-24
"Starbucks",0E-24
"Domino's Pizza USA",0E-24
"SONIC Drive-In",0E-24
"Allrecipes Dinner Spinner",0E-24
"Domino's Pizza USA",0E-24
"DoorDash - Food Delivery",0E-24
"Chick-fil-A",0E-24
"Fitbit",0E-24
"Seven - 7 Minute Workout Training Challenge",0E-24
"Geocaching®",0E-24
"Seven - 7 Minute Workout Training Challenge",0E-24
"H&M",0E-24
"ROBLOX",0E-24
"Subway Surfers",0E-24
