"name","primary_genre","weighted_avg_price","rights_purchase_cost","rating","rating-2","weighted_avg_review","lifespan_months","total_in_app_revenue","total_marketing_expense","total_profit"
"Fruit Ninja®","Games",0.00,25000.00,4.5,4.3,4.31,114,255000,102000,128000.00
"Google Docs","Productivity",0.00,25000.00,4.5,4.3,4.31,114,255000,102000,128000.00
"Google Sheets","Productivity",0.00,25000.00,4.5,4.3,4.31,114,255000,102000,128000.00
"PAC-MAN Pop","Games",0.00,25000.00,4.5,4.3,4.31,114,255000,102000,128000.00
"Pineapple Pen","Games",0.00,25000.00,4.5,4.3,4.31,114,255000,102000,128000.00
"Smashy Road: Arena","Games",0.00,25000.00,4.5,4.3,4.31,114,255000,102000,128000.00
"Summoners War","Games",0.00,25000.00,4.5,4.3,4.31,114,255000,102000,128000.00
"Temple Run 2","Games",0.00,25000.00,4.5,4.3,4.31,114,255000,102000,128000.00
"Verizon Cloud","Productivity",0.00,25000.00,4.5,4.3,4.31,114,255000,102000,128000.00
"Bad Piggies","Games",0.00,25000.00,4.5,4.3,4.30,114,255000,102000,128000.00
"Bike Unchained","Games",0.00,25000.00,4.0,4.3,4.30,114,255000,102000,128000.00
"Dr. Panda Hospital","Education",2.99,29900.00,4.0,4.4,4.30,114,255000,102000,123100.00
"GMX Mail","Productivity",0.00,25000.00,4.5,4.3,4.30,114,255000,102000,128000.00
"Pou","Games",0.00,25000.00,4.5,4.3,4.30,114,255000,102000,128000.00
"Super Jabber Jump","Games",0.00,25000.00,4.5,4.3,4.30,114,255000,102000,128000.00
"WEB.DE Mail","Productivity",0.00,25000.00,4.0,4.3,4.30,114,255000,102000,128000.00
"Candy Crush Jelly Saga","Games",0.00,25000.00,4.0,4.3,4.29,114,255000,102000,128000.00
"Ingress","Games",0.00,25000.00,3.5,4.3,4.29,114,255000,102000,128000.00
"Premier League - Official App","Sports",0.00,25000.00,3.5,4.3,4.29,114,255000,102000,128000.00
"Puffin Web Browser","Utilities",0.00,25000.00,4.0,4.3,4.29,114,255000,102000,128000.00
"Shopkins World!","Games",0.00,25000.00,4.0,4.3,4.29,114,255000,102000,128000.00
"T-Mobile","Productivity",0.00,25000.00,4.0,4.3,4.29,114,255000,102000,128000.00
"Best Buy","Shopping",0.00,25000.00,4.0,4.4,4.28,114,255000,102000,128000.00
